IdRegistro	DecisionFinal	DecisionFinal
100.283	CONTRACARGADO	CONTRACARGADO
7.287	NO FACTURADO	NO FACTURADO
101.742	?	P&G
27.290	PETICION COPIA DE VALE	PETICION COPIA DE VALE
25.408	PETICION COPIA DE VALE	PETICION COPIA DE VALE
103.765	?	DUPLICADO
101.555	?	P&G
69.734	PETICION COPIA DE VALE	PETICION COPIA DE VALE
92.829	DEBITO COMERCIO	DEBITO COMERCIO
95.965	P&G	P&G
56.051	PETICION COPIA DE VALE	PETICION COPIA DE VALE
101.549	?	P&G
99.754	?	PETICION COPIA DE VALE
99.599	CONTRACARGADO	CONTRACARGADO
103.218	?	P&G
103.757	?	P&G
101.657	?	P&G
12.697	NO FACTURADO	NO FACTURADO
92.065	DEBITO COMERCIO	DEBITO COMERCIO
90.835	DEBITO COMERCIO	DEBITO COMERCIO
984	CONTRACARGO GANADO 	CONTRACARGO GANADO 
57.453	PETICION COPIA DE VALE	PETICION COPIA DE VALE
96.786	DEBITO COMERCIO	DEBITO COMERCIO
103.755	?	P&G
102.336	?	P&G
104.756	?	ANULADO
96.601	PAGA SOCIO	PAGA SOCIO
98.170	CONTRACARGADO	CONTRACARGADO
102.253	?	PETICION COPIA DE VALE
56.049	PETICION COPIA DE VALE	PETICION COPIA DE VALE
102.334	?	P&G
92.863	?	DEBITO COMERCIO
96.463	PAGA SOCIO	PAGA SOCIO
23.129	DEBITO COMERCIO	DEBITO COMERCIO
103.069	?	CONTRACARGADO
101.752	?	P&G
24.957	CONTRACARGO GANADO 	CONTRACARGO GANADO 
93.002	DEBITO COMERCIO	DEBITO COMERCIO
99.846	?	PETICION COPIA DE VALE
94.916	PAGA SOCIO	PAGA SOCIO
95.282	PAGA SOCIO	PAGA SOCIO
36.365	CONTRACARGO GANADO 	CONTRACARGO GANADO 
10.640	CONTRACARGO GANADO 	CONTRACARGO GANADO 
101.726	?	P&G
101.634	?	PETICION COPIA DE VALE
8.178	CONTRACARGO GANADO 	CONTRACARGO GANADO 
20.558	CONTRACARGO GANADO 	CONTRACARGO GANADO 
41.460	CONTRACARGO PERDIDO	CONTRACARGO PERDIDO
98.223	CONTRACARGADO	CONTRACARGADO
73.823	DUPLICADO	DUPLICADO
42.036	CONTRACARGO GANADO 	CONTRACARGO GANADO 
99.403	CONTRACARGADO	CONTRACARGADO
1.498	CONTRACARGO GANADO 	CONTRACARGO GANADO 
101.293	?	P&G
22.359	DEBITO COMERCIO	DEBITO COMERCIO
2.590	NO FACTURADO	NO FACTURADO
102.693	?	DUPLICADO
97.764	CONTRACARGADO	CONTRACARGADO
30.611	CONTRACARGO GANADO 	CONTRACARGO GANADO 
89.498	PETICION COPIA DE VALE	PETICION COPIA DE VALE
101.983	?	CONTRACARGADO
103.224	?	P&G
101.301	?	P&G
102.696	?	DUPLICADO
101.656	?	P&G
103.333	SOCIO RECONOCE CONSUMO	SOCIO RECONOCE CONSUMO
102.168	?	PETICION COPIA DE VALE
99.600	CONTRACARGADO	CONTRACARGADO
104.171	?	PETICION COPIA DE VALE
100.240	?	PETICION COPIA DE VALE
53.800	PETICION COPIA DE VALE	PETICION COPIA DE VALE
99.126	SOCIO RECONOCE CONSUMO	SOCIO RECONOCE CONSUMO
103.259	?	PETICION COPIA DE VALE
8.697	CONTRACARGO GANADO 	CONTRACARGO GANADO 
91.739	DEBITO COMERCIO	DEBITO COMERCIO
42.222	CONTRACARGO GANADO 	CONTRACARGO GANADO 
104.172	?	PETICION COPIA DE VALE
102.423	?	DUPLICADO
100.025	CONTRACARGADO	CONTRACARGADO
101.224	?	P&G
92.289	PAGA SOCIO	PAGA SOCIO
101.501	?	DUPLICADO
40.519	CONTRACARGO GANADO 	CONTRACARGO GANADO 
101.358	?	DEBITO COMERCIO
104.053	?	PETICION COPIA DE VALE
71.215	PETICION COPIA DE VALE	PETICION COPIA DE VALE
102.340	?	P&G
101.661	?	PETICION COPIA DE VALE
103.269	?	P&G
97.117	CONTRACARGADO	CONTRACARGADO
40.401	CONTRACARGO GANADO 	CONTRACARGO GANADO 
2.918	CONTRACARGO GANADO 	CONTRACARGO GANADO 
2.922	CONTRACARGO GANADO 	CONTRACARGO GANADO 
1.513	CONTRACARGO GANADO 	CONTRACARGO GANADO 
102.462	?	CONTRACARGADO
101.216	?	EXCEPCION ALTO VALOR
101.927	?	ANULADO
2.078	DEBITO COMERCIO	DEBITO COMERCIO
103.835	?	P&G
23.030	DEBITO COMERCIO	DEBITO COMERCIO
98.849	CONTRACARGADO	CONTRACARGADO
102.717	?	DUPLICADO
100.966	?	CONTRACARGADO
21.802	NO FACTURADO	NO FACTURADO
102.444	?	PETICION COPIA DE VALE
9.895	CONTRACARGO GANADO 	CONTRACARGO GANADO 
25.824	DEBITO COMERCIO	DEBITO COMERCIO
39.675	PETICION COPIA DE VALE	PETICION COPIA DE VALE
57.435	PETICION COPIA DE VALE	PETICION COPIA DE VALE
104.196	?	DEBITO COMERCIO
88.896	PETICION COPIA DE VALE	PETICION COPIA DE VALE
101.734	?	P&G
38.974	CONTRACARGO GANADO 	CONTRACARGO GANADO 
9.877	NO FACTURADO	NO FACTURADO
101.740	?	P&G
99.729	CONTRACARGADO	CONTRACARGADO
102.600	?	PETICION COPIA DE VALE
104.310	?	CONTRACARGADO
101.720	?	P&G
1.493	CONTRACARGO GANADO 	CONTRACARGO GANADO 
96.620	CONTRACARGADO	CONTRACARGADO
29.183	CONTRACARGO GANADO 	CONTRACARGO GANADO 
89.420	PETICION COPIA DE VALE	PETICION COPIA DE VALE
22.334	CONTRACARGO GANADO 	CONTRACARGO GANADO 
41.699	CONTRACARGO GANADO 	CONTRACARGO GANADO 
102.339	?	P&G
31.708	CONTRACARGO GANADO	CONTRACARGO GANADO
104.795	?	PETICION COPIA DE VALE
40.838	CONTRACARGO GANADO 	CONTRACARGO GANADO 
100.305	CONTRACARGADO	CONTRACARGADO
3.781	CONTRACARGO GANADO 	CONTRACARGO GANADO 
102.713	?	DUPLICADO
26.179	PAGA SOCIO	PAGA SOCIO
103.781	?	PETICION COPIA DE VALE
101.928	?	ANULADO
41.682	CONTRACARGO GANADO 	CONTRACARGO GANADO 
38.571	CONTRACARGO GANADO 	CONTRACARGO GANADO 
94.915	DEBITO COMERCIO	DEBITO COMERCIO
102.452	?	CONTRACARGADO
104.236	?	ANULADO
1.506	CONTRACARGO GANADO 	CONTRACARGO GANADO 
36.364	CONTRACARGO GANADO 	CONTRACARGO GANADO 
35.524	CONTRACARGO GANADO 	CONTRACARGO GANADO 
99.069	CONTRACARGADO	CONTRACARGADO
100.823	?	DEBITO COMERCIO
14.103	NO FACTURADO	NO FACTURADO
102.276	?	PETICION COPIA DE VALE
102.686	?	PETICION COPIA DE VALE
98.624	CONTRACARGADO	CONTRACARGADO
24.678	PAGA SOCIO	PAGA SOCIO
54.599	PETICION COPIA DE VALE	PETICION COPIA DE VALE
101.759	?	P&G
101.739	?	P&G
101.670	?	CONTRACARGADO
2.851	CONTRACARGO GANADO 	CONTRACARGO GANADO 
65.606	P&G	P&G
100.269	CONTRACARGADO	CONTRACARGADO
103.712	?	PETICION COPIA DE VALE
95.041	PAGA SOCIO	PAGA SOCIO
100.626	?	P&G
104.482	?	PETICION COPIA DE VALE
101.923	?	ANULADO
101.721	?	CONTRACARGADO
102.455	?	P&G
2.917	CONTRACARGO GANADO 	CONTRACARGO GANADO 
99.194	CONTRACARGADO	CONTRACARGADO
101.988	?	P&G
97.344	CONTRACARGADO	CONTRACARGADO
42.916	CONTRACARGO GANADO 	CONTRACARGO GANADO 
90.833	DEBITO COMERCIO	DEBITO COMERCIO
27.940	PAGA SOCIO	PAGA SOCIO
29.965	CONTRACARGO GANADO 	CONTRACARGO GANADO 
103.892	?	CONTRACARGADO
102.278	?	PETICION COPIA DE VALE
101.723	?	CONTRACARGADO
85.266	PETICION COPIA DE VALE	PETICION COPIA DE VALE
8.841	NO FACTURADO	NO FACTURADO
103.774	?	PETICION COPIA DE VALE
12.158	CONTRACARGO GANADO 	CONTRACARGO GANADO 
101.815	?	PETICION COPIA DE VALE
100.469	?	P&G
101.295	?	P&G
24.377	PAGA SOCIO	PAGA SOCIO
100.651	?	P&G
102.775	?	DUPLICADO
102.521	?	CONTRACARGADO
13.623	CONTRACARGO GANADO 	CONTRACARGO GANADO 
41.182	CONTRACARGO GANADO 	CONTRACARGO GANADO 
103.863	?	DUPLICADO
6.225	CONTRACARGO PERDIDO	CONTRACARGO PERDIDO
11.511	PAGA SOCIO	PAGA SOCIO
101.760	?	P&G
10.844	CONTRACARGO GANADO 	CONTRACARGO GANADO 
99.897	CONTRACARGADO	CONTRACARGADO
101.924	?	ANULADO
103.764	?	DUPLICADO
6.573	CONTRACARGO GANADO 	CONTRACARGO GANADO 
31.462	CONTRACARGO GANADO 	CONTRACARGO GANADO 
25.500	CONTRACARGO GANADO 	CONTRACARGO GANADO 
103.684	?	P&G
74.479	PETICION COPIA DE VALE	PETICION COPIA DE VALE
15.977	CONTRACARGO GANADO 	CONTRACARGO GANADO 
101.379	?	P&G
89.582	?	PETICION COPIA DE VALE
101.306	?	P&G
86.756	PETICION COPIA DE VALE	PETICION COPIA DE VALE
100.624	?	P&G
102.370	?	CONTRACARGADO
2.369	CONTRACARGO PERDIDO	CONTRACARGO PERDIDO
101.728	?	P&G
9.422	CONTRACARGO GANADO 	CONTRACARGO GANADO 
102.750	?	PETICION COPIA DE VALE
101.846	?	PETICION COPIA DE VALE
69.091	PETICION COPIA DE VALE	PETICION COPIA DE VALE
103.715	?	PETICION COPIA DE VALE
74.500	PETICION COPIA DE VALE	PETICION COPIA DE VALE
41.695	CONTRACARGO GANADO 	CONTRACARGO GANADO 
102.373	?	CONTRACARGADO
98.499	CONTRACARGADO	CONTRACARGADO
26.947	NO FACTURADO	NO FACTURADO
28.778	CONTRACARGO GANADO 	CONTRACARGO GANADO 
24.153	PAGA SOCIO	PAGA SOCIO
102.456	?	CONTRACARGADO
100.593	?	CONTRACARGADO
101.548	?	P&G
98.028	SOCIO RECONOCE CONSUMO	SOCIO RECONOCE CONSUMO
99.041	?	PETICION COPIA DE VALE
65.607	P&G	P&G
102.457	?	CONTRACARGADO
89.541	PETICION COPIA DE VALE	PETICION COPIA DE VALE
102.257	?	PETICION COPIA DE VALE
103.086	?	PETICION COPIA DE VALE
100.021	CONTRACARGADO	CONTRACARGADO
103.226	?	EXCEPCION ALTO VALOR
2.921	CONTRACARGO GANADO 	CONTRACARGO GANADO 
52.431	PETICION COPIA DE VALE	PETICION COPIA DE VALE
103.222	?	P&G
101.732	?	P&G
99.483	CONTRACARGADO	CONTRACARGADO
92.135	DEBITO COMERCIO	DEBITO COMERCIO
100.828	?	CONTRACARGADO
41.803	CONTRACARGO GANADO 	CONTRACARGO GANADO 
101.730	?	P&G
93.312	PAGA SOCIO	PAGA SOCIO
100.829	?	P&G
99.601	CONTRACARGADO	CONTRACARGADO
99.562	CONTRACARGADO	CONTRACARGADO
6.573	CONTRACARGO GANADO 	CONTRACARGO GANADO 
74.011	PETICION COPIA DE VALE	PETICION COPIA DE VALE
91.162	PAGA SOCIO	PAGA SOCIO
91.217	?	CONTRACARGADO
6.960	CONTRACARGO GANADO 	CONTRACARGO GANADO 
101.731	?	P&G
90.774	P&G	P&G
25.631	PAGA SOCIO	PAGA SOCIO
104.989	?	PETICION COPIA DE VALE
104.416	?	P&G
102.465	?	CONTRACARGADO
8.982	NO FACTURADO	NO FACTURADO
88.405	PETICION COPIA DE VALE	PETICION COPIA DE VALE
102.692	?	DUPLICADO
97.768	CONTRACARGADO	CONTRACARGADO
37.897	ANULADO	ANULADO
94.786	P&G	P&G
99.405	CONTRACARGADO	CONTRACARGADO
103.717	?	PETICION COPIA DE VALE
1.554	CONTRACARGO GANADO 	CONTRACARGO GANADO 
15.238	PAGA SOCIO	PAGA SOCIO
102.450	?	CONTRACARGADO
86.153	?	PETICION COPIA DE VALE
13.777	CONTRACARGO GANADO 	CONTRACARGO GANADO 
103.223	?	EXCEPCION ALTO VALOR
40.516	CONTRACARGO GANADO 	CONTRACARGO GANADO 
40.065	CONTRACARGO GANADO 	CONTRACARGO GANADO 
100.472	?	P&G
94.334	PAGA SOCIO	PAGA SOCIO
90.834	DEBITO COMERCIO	DEBITO COMERCIO
103.221	?	P&G
42.523	CONTRACARGO GANADO 	CONTRACARGO GANADO 
101.751	?	P&G
102.772	?	DUPLICADO
70.584	PETICION COPIA DE VALE	PETICION COPIA DE VALE
102.767	?	DUPLICADO
25.501	CONTRACARGO GANADO 	CONTRACARGO GANADO 
7.975	NO FACTURADO	NO FACTURADO
92.826	DEBITO COMERCIO	DEBITO COMERCIO
42.476	CONTRACARGO PERDIDO 	CONTRACARGO PERDIDO 
74.016	PETICION COPIA DE VALE	PETICION COPIA DE VALE
104.292	?	PETICION COPIA DE VALE
96.991	SOCIO RECONOCE CONSUMO	SOCIO RECONOCE CONSUMO
74.015	PETICION COPIA DE VALE	PETICION COPIA DE VALE
100.891	?	PETICION COPIA DE VALE
101.222	?	EXCEPCION ALTO VALOR
22.974	PETICION COPIA DE VALE	PETICION COPIA DE VALE
93.476	PAGA SOCIO	PAGA SOCIO
39.718	CONTRACARGO PERDIDO	CONTRACARGO PERDIDO
6.908	DEBITO COMERCIO	DEBITO COMERCIO
91.743	DEBITO COMERCIO	DEBITO COMERCIO
101.219	?	P&G
99.728	CONTRACARGADO	CONTRACARGADO
103.836	?	P&G
13.925	NO FACTURADO	NO FACTURADO
99.406	CONTRACARGADO	CONTRACARGADO
102.342	?	PETICION COPIA DE VALE
2.937	CONTRACARGO GANADO 	CONTRACARGO GANADO 
100.831	?	CONTRACARGADO
101.502	?	DUPLICADO
4.599	CONTRACARGO GANADO 	CONTRACARGO GANADO 
100.652	?	CONTRACARGADO
2.913	CONTRACARGO GANADO 	CONTRACARGO GANADO 
104.757	?	ANULADO
22.932	DEBITO COMERCIO	DEBITO COMERCIO
6.894	DEBITO COMERCIO	DEBITO COMERCIO
43.704	CONTRACARGO GANADO 	CONTRACARGO GANADO 
102.446	?	PETICION COPIA DE VALE
94.372	?	PAGA SOCIO
39.241	CONTRACARGO GANADO 	CONTRACARGO GANADO 
86.169	?	PETICION COPIA DE VALE
32.046	P&G	P&G
103.820	?	PETICION COPIA DE VALE
92.316	DEBITO COMERCIO	DEBITO COMERCIO
49.768	PETICION COPIA DE VALE	PETICION COPIA DE VALE
40.514	CONTRACARGO GANADO 	CONTRACARGO GANADO 
94.059	PAGA SOCIO	PAGA SOCIO
92.033	DEBITO COMERCIO	DEBITO COMERCIO
71.224	PETICION COPIA DE VALE	PETICION COPIA DE VALE
29.254	NO FACTURADO	NO FACTURADO
102.755	?	DUPLICADO
25.307	CONTRACARGO GANADO 	CONTRACARGO GANADO 
102.262	?	PETICION COPIA DE VALE
104.427	?	SOCIO RECONOCE CONSUMO
25.111	DEBITO COMERCIO	DEBITO COMERCIO
99.672	CONTRACARGADO	CONTRACARGADO
25.946	CONTRACARGO GANADO 	CONTRACARGO GANADO 
103.336	SOCIO RECONOCE CONSUMO	SOCIO RECONOCE CONSUMO
102.335	?	P&G
91.478	PAGA SOCIO	PAGA SOCIO
30.078	CONTRACARGO GANADO 	CONTRACARGO GANADO 
103.645	?	DEBITO COMERCIO
50.063	PETICION COPIA DE VALE	PETICION COPIA DE VALE
92.325	DEBITO COMERCIO	DEBITO COMERCIO
31.040	CONTRACARGO GANADO 	CONTRACARGO GANADO 
90.831	DEBITO COMERCIO	DEBITO COMERCIO
41.785	CONTRACARGO GANADO 	CONTRACARGO GANADO 
86.168	?	PETICION COPIA DE VALE
100.690	?	DUPLICADO
101.217	?	P&G
90.776	P&G	P&G
96.648	PAGA SOCIO	PAGA SOCIO
98.578	CONTRACARGADO	CONTRACARGADO
100.388	?	PETICION COPIA DE VALE
31.463	CONTRACARGO GANADO 	CONTRACARGO GANADO 
43.706	CONTRACARGO GANADO 	CONTRACARGO GANADO 
94.784	P&G	P&G
2.848	CONTRACARGO GANADO 	CONTRACARGO GANADO 
22.642	PAGA SOCIO	PAGA SOCIO
100.088	SOCIO RECONOCE CONSUMO	SOCIO RECONOCE CONSUMO
103.161	?	CONTRACARGADO
99.646	SOCIO RECONOCE CONSUMO	SOCIO RECONOCE CONSUMO
39.245	CONTRACARGO GANADO 	CONTRACARGO GANADO 
96.230	PAGA SOCIO	PAGA SOCIO
94.122	PAGA SOCIO	PAGA SOCIO
88.497	PETICION COPIA DE VALE	PETICION COPIA DE VALE
101.722	?	CONTRACARGADO
98.222	CONTRACARGADO	CONTRACARGADO
89.464	?	SOCIO RECONOCE CONSUMO
41.459	CONTRACARGO GANADO	CONTRACARGO GANADO
101.753	?	P&G
102.768	?	DUPLICADO
103.821	?	PETICION COPIA DE VALE
100.474	?	P&G
101.755	?	P&G
69.758	PETICION COPIA DE VALE	PETICION COPIA DE VALE
92.830	DEBITO COMERCIO	DEBITO COMERCIO
103.839	?	P&G
73.492	DEBITO COMERCIO	DEBITO COMERCIO
103.716	?	PETICION COPIA DE VALE
101.692	?	PETICION COPIA DE VALE
101.292	?	P&G
50.061	PETICION COPIA DE VALE	PETICION COPIA DE VALE
99.573	CONTRACARGADO	CONTRACARGADO
103.891	?	CONTRACARGADO
9.005	NO FACTURADO	NO FACTURADO
96.730	CONTRACARGADO	CONTRACARGADO
96.180	DEBITO COMERCIO	DEBITO COMERCIO
104.198	?	DEBITO COMERCIO
100.360	SOCIO RECONOCE CONSUMO	SOCIO RECONOCE CONSUMO
65.608	P&G	P&G
101.737	?	P&G
8.492	NO FACTURADO	NO FACTURADO
91.738	DEBITO COMERCIO	DEBITO COMERCIO
45.044	PETICION COPIA DE VALE	PETICION COPIA DE VALE
104.232	?	ANULADO
94.132	DEBITO COMERCIO	DEBITO COMERCIO
101.291	?	P&G
94.375	PAGA SOCIO	PAGA SOCIO
89.422	PETICION COPIA DE VALE	PETICION COPIA DE VALE
9.720	CONTRACARGO GANADO 	CONTRACARGO GANADO 
102.023	?	PETICION COPIA DE VALE
100.334	CONTRACARGADO	CONTRACARGADO
89.542	PETICION COPIA DE VALE	PETICION COPIA DE VALE
39.831	CONTRACARGO GANADO 	CONTRACARGO GANADO 
100.391	CONTRACARGADO	CONTRACARGADO
102.467	?	CONTRACARGADO
97.772	CONTRACARGADO	CONTRACARGADO
35.779	ANULADO	ANULADO
96.706	DEBITO COMERCIO	DEBITO COMERCIO
42.037	CONTRACARGO GANADO 	CONTRACARGO GANADO 
103.217	?	P&G
94.780	DEBITO COMERCIO	DEBITO COMERCIO
74.418	CONTRACARGO PERDIDO	CONTRACARGO PERDIDO
28.185	NO FACTURADO	NO FACTURADO
98.008	?	PETICION COPIA DE VALE
100.473	?	P&G
95.922	PAGA SOCIO	PAGA SOCIO
102.779	?	DUPLICADO
102.341	?	P&G
25.562	DEBITO COMERCIO	DEBITO COMERCIO
104.179	?	PETICION COPIA DE VALE
104.068	?	DUPLICADO
100.836	?	P&G
100.537	CONTRACARGADO	CONTRACARGADO
43.705	CONTRACARGO GANADO 	CONTRACARGO GANADO 
41.784	CONTRACARGO GANADO 	CONTRACARGO GANADO 
103.651	?	CONTRACARGADO
101.297	?	P&G
93.198	PAGA SOCIO	PAGA SOCIO
102.337	?	P&G
39.297	CONTRACARGO GANADO 	CONTRACARGO GANADO 
27.339	PAGA SOCIO	PAGA SOCIO
97.770	CONTRACARGADO	CONTRACARGADO
38.529	CONTRACARGO GANADO 	CONTRACARGO GANADO 
99.753	?	CONTRACARGADO
95.966	DEBITO COMERCIO	DEBITO COMERCIO
92.457	DEBITO COMERCIO	DEBITO COMERCIO
98.498	CONTRACARGADO	CONTRACARGADO
101.568	?	ANULADO
100.035	?	CONTRACARGADO
27.294	PAGA SOCIO	PAGA SOCIO
101.560	?	P&G
100.968	?	P&G
102.716	?	DUPLICADO
101.298	?	P&G
102.526	?	PETICION COPIA DE VALE
73.642	PETICION COPIA DE VALE	PETICION COPIA DE VALE
25.982	DEBITO COMERCIO	DEBITO COMERCIO
30.536	CONTRACARGO GANADO 	CONTRACARGO GANADO 
103.225	?	EXCEPCION ALTO VALOR
101.664	?	PETICION COPIA DE VALE
25.066	NO FACTURADO	NO FACTURADO
90.777	DEBITO COMERCIO	DEBITO COMERCIO
21.279	CONTRACARGO GANADO 	CONTRACARGO GANADO 
105.004	?	PETICION COPIA DE VALE
24.826	CONTRACARGO PERDIDO 	CONTRACARGO PERDIDO 
95.040	PAGA SOCIO	PAGA SOCIO
104.199	?	ANULADO
10.721	CONTRACARGO GANADO 	CONTRACARGO GANADO 
102.453	?	CONTRACARGADO
104.287	?	P&G
27.932	PAGA SOCIO	PAGA SOCIO
11.796	CONTRACARGO GANADO 	CONTRACARGO GANADO 
18.306	CONTRACARGO GANADO 	CONTRACARGO GANADO 
100.188	?	PETICION COPIA DE VALE
102.273	?	PETICION COPIA DE VALE
22.870	CONTRACARGO GANADO 	CONTRACARGO GANADO 
99.013	?	PETICION COPIA DE VALE
38.387	PETICION COPIA DE VALE	PETICION COPIA DE VALE
74.420	PETICION COPIA DE VALE	PETICION COPIA DE VALE
38.205	CONTRACARGO GANADO 	CONTRACARGO GANADO 
1.551	CONTRACARGO GANADO 	CONTRACARGO GANADO 
101.299	?	P&G
101.727	?	P&G
76.851	P&G	P&G
39.614	CONTRACARGO GANADO 	CONTRACARGO GANADO 
25.984	DEBITO COMERCIO	DEBITO COMERCIO
39.238	CONTRACARGO GANADO 	CONTRACARGO GANADO 
1.501	CONTRACARGO GANADO 	CONTRACARGO GANADO 
98.029	SOCIO RECONOCE CONSUMO	SOCIO RECONOCE CONSUMO
25.981	DEBITO COMERCIO	DEBITO COMERCIO
95.967	P&G	P&G
13.353	NO FACTURADO	NO FACTURADO
30.306	CONTRACARGO GANADO 	CONTRACARGO GANADO 
100.627	?	P&G
1.541	CONTRACARGO GANADO 	CONTRACARGO GANADO 
12.051	CONTRACARGO GANADO 	CONTRACARGO GANADO 
102.468	?	CONTRACARGADO
15.510	CONTRACARGO GANADO	CONTRACARGO GANADO
104.067	?	DUPLICADO
94.782	P&G	P&G
102.474	?	CONTRACARGADO
101.552	?	P&G
18.488	CONTRACARGO GANADO 	CONTRACARGO GANADO 
96.622	CONTRACARGADO	CONTRACARGADO
99.671	CONTRACARGADO	CONTRACARGADO
93.975	EXCEPCION ALTO VALOR	EXCEPCION ALTO VALOR
23.630	PETICION COPIA DE VALE	PETICION COPIA DE VALE
4.882	NO FACTURADO	NO FACTURADO
102.774	?	DUPLICADO
102.471	?	CONTRACARGADO
14.109	NO FACTURADO	NO FACTURADO
439	DEBITO COMERCIO	DEBITO COMERCIO
102.250	?	PETICION COPIA DE VALE
100.662	?	P&G
99.407	CONTRACARGADO	CONTRACARGADO
100.268	CONTRACARGADO	CONTRACARGADO
27.340	PAGA SOCIO	PAGA SOCIO
92.305	?	PETICION COPIA DE VALE
100.766	?	PETICION COPIA DE VALE
98.847	CONTRACARGADO	CONTRACARGADO
57.447	PETICION COPIA DE VALE	PETICION COPIA DE VALE
103.834	?	P&G
9.692	DEBITO COMERCIO	DEBITO COMERCIO
100.622	?	P&G
100.248	?	PETICION COPIA DE VALE
11.967	NO FACTURADO	NO FACTURADO
102.773	?	DUPLICADO
95.137	PAGA SOCIO	PAGA SOCIO
103.889	?	P&G
101.559	?	P&G
95.730	CONTRACARGADO	CONTRACARGADO
102.263	?	PETICION COPIA DE VALE
103.228	?	P&G
89.154	PETICION COPIA DE VALE	PETICION COPIA DE VALE
100.825	?	DEBITO COMERCIO
99.848	SOCIO RECONOCE CONSUMO	SOCIO RECONOCE CONSUMO
102.472	?	CONTRACARGADO
103.087	?	PETICION COPIA DE VALE
100.820	?	CONTRACARGADO
39.615	CONTRACARGO GANADO 	CONTRACARGO GANADO 
28.033	PAGA SOCIO	PAGA SOCIO
101.756	?	P&G
19.177	CONTRACARGO GANADO 	CONTRACARGO GANADO 
101.556	?	P&G
17.044	CONTRACARGO GANADO 	CONTRACARGO GANADO 
99.727	CONTRACARGADO	CONTRACARGADO
40.141	CONTRACARGO PERDIDO 	CONTRACARGO PERDIDO 
89.722	?	PETICION COPIA DE VALE
92.614	PAGA SOCIO	PAGA SOCIO
35.115	CONTRACARGADO	CONTRACARGADO
92.817	DEBITO COMERCIO	DEBITO COMERCIO
1.902	CONTRACARGO GANADO 	CONTRACARGO GANADO 
49.759	CONTRACARGO PERDIDO	CONTRACARGO PERDIDO
102.754	?	DUPLICADO
74.499	PETICION COPIA DE VALE	PETICION COPIA DE VALE
2.847	CONTRACARGO GANADO 	CONTRACARGO GANADO 
35.860	NO FACTURADO	NO FACTURADO
76.850	P&G	P&G
50.888	PETICION COPIA DE VALE	PETICION COPIA DE VALE
38.528	CONTRACARGO GANADO 	CONTRACARGO GANADO 
100.827	?	DEBITO COMERCIO
16.484	NO FACTURADO	NO FACTURADO
97.776	CONTRACARGADO	CONTRACARGADO
101.814	?	PETICION COPIA DE VALE
17.735	NO FACTURADO	NO FACTURADO
83.995	PETICION COPIA DE VALE	PETICION COPIA DE VALE
10.859	CONTRACARGO GANADO 	CONTRACARGO GANADO 
103.492	?	DEBITO COMERCIO
100.265	?	PETICION COPIA DE VALE
